estacion,fechahora,370nm ng/m3 (ng/m3),BBP (%),CO (ppm),Dir Viento (Grados),Dir Viento 10M (Grados),HR (%),HR_2m (%),Humedad Inter (%),NO (ppb),NO2 (ppb),NOX (ppb),OZONO (ppb),PM10 (µg/m3),PM25 (µg/m3),Precipitacion (mm),Presion Baro (mmHg),Rad Solar (W/M²),SO2 (ppb),SO2 Envea (ppb),Tempe Inter (°C),Temperatura (°C),Temperatura 20M (°C),Temperatura 8M (°C),Vel Viento (m/s),Vel Viento 10M (m/s),eBC (µg/m3)
Bolivia,2025-10-05 00:00:00,,,0.55,44.0,,84.0,,,5.4,16.7,22.1,5.5,29.0,6.3,0.0,565.0,0.0,,1.0,,13.1,,,1.4,,
Bolivia,2025-10-05 01:00:00,,,0.57,2.0,,85.0,,,4.3,15.4,19.7,4.6,26.8,6.0,0.0,565.0,0.0,,0.9,,12.4,,,1.3,,
Bolivia,2025-10-05 02:00:00,,,0.54,54.0,,83.0,,,12.1,20.6,32.7,5.3,19.7,5.7,0.0,565.0,0.0,,0.9,,12.6,,,1.3,,
Bolivia,2025-10-05 03:00:00,,,0.54,77.0,,86.0,,,7.0,17.6,24.7,3.0,17.2,7.0,0.0,565.0,0.0,,1.5,,12.2,,,1.3,,
Bolivia,2025-10-05 04:00:00,,,0.59,334.0,,86.0,,,7.5,16.6,24.2,2.4,17.3,7.0,0.0,565.0,0.0,,1.0,,11.7,,,1.0,,
Bolivia,2025-10-05 05:00:00,,,0.58,62.0,,86.0,,,19.0,23.1,42.2,2.2,18.3,7.8,0.0,565.0,2.0,,2.3,,11.9,,,2.0,,
Bolivia,2025-10-05 06:00:00,,,0.59,71.0,,85.0,,,23.7,24.0,47.7,2.9,22.2,7.1,0.0,566.0,59.0,,1.9,,12.1,,,1.8,,
Bolivia,2025-10-05 07:00:00,,,0.57,81.0,,79.0,,,13.6,18.9,32.5,6.7,22.9,7.2,0.0,566.0,297.0,,0.6,,13.8,,,1.8,,
Bolivia,2025-10-05 08:00:00,,,0.41,119.0,,68.0,,,1.8,9.4,11.2,17.0,30.1,10.8,0.0,566.0,666.0,,0.2,,16.1,,,2.3,,
Bolivia,2025-10-05 09:00:00,,,0.35,133.0,,65.0,,,0.9,6.1,7.1,21.9,22.1,8.3,0.0,567.0,391.0,,0.4,,16.8,,,2.7,,
Bolivia,2025-10-05 10:00:00,,,0.34,118.0,,65.0,,,1.2,6.2,7.4,22.9,16.4,6.0,0.0,566.0,411.0,,0.7,,16.9,,,3.0,,
Bolivia,2025-10-05 11:00:00,,,0.36,135.0,,65.0,,,0.9,6.1,7.0,23.2,12.4,5.7,0.0,566.0,479.0,,1.1,,17.0,,,2.9,,
Bolivia,2025-10-05 12:00:00,,,0.36,123.0,,63.0,,,0.9,5.9,6.9,23.8,11.0,9.8,0.0,565.0,420.0,,1.2,,17.4,,,2.9,,
