estacion,fechahora,370nm ng/m3 (ng/m3),BBP (%),CO (ppm),Dir Viento (Grados),Dir Viento 10M (Grados),HR (%),HR_2m (%),Humedad Inter (%),NO (ppb),NO2 (ppb),NOX (ppb),OZONO (ppb),PM10 (µg/m3),PM25 (µg/m3),Precipitacion (mm),Presion Baro (mmHg),Rad Solar (W/M²),SO2 (ppb),SO2 Envea (ppb),Tempe Inter (°C),Temperatura (°C),Temperatura 20M (°C),Temperatura 8M (°C),Vel Viento (m/s),Vel Viento 10M (m/s),eBC (µg/m3)
Bolivia,2025-10-10 00:00:00,,,0.56,42.0,,86.0,,,26.0,26.1,52.2,1.5,22.5,9.2,0.0,565.0,0.0,,3.4,,12.5,,,2.0,,
Bolivia,2025-10-10 01:00:00,,,0.51,36.0,,88.0,,,21.3,24.6,45.9,1.5,17.7,13.1,0.0,565.0,0.0,,2.9,,12.3,,,1.8,,
Bolivia,2025-10-10 02:00:00,,,0.45,63.0,,87.0,,,11.9,18.9,30.9,2.5,26.2,9.5,0.0,565.0,0.0,,2.3,,12.5,,,1.7,,
Bolivia,2025-10-10 03:00:00,,,0.44,20.0,,88.0,,,6.7,15.8,22.5,2.4,19.4,7.3,0.0,565.0,0.0,,1.8,,12.1,,,1.5,,
Bolivia,2025-10-10 04:00:00,,,0.52,44.0,,87.0,,,22.2,24.5,46.7,1.7,15.1,6.1,0.0,565.0,0.0,,2.5,,12.1,,,1.8,,
Bolivia,2025-10-10 05:00:00,,,0.74,41.0,,85.0,,,25.3,23.9,49.3,1.1,19.6,5.0,0.0,565.0,5.0,,3.1,,12.0,,,1.4,,
Bolivia,2025-10-10 06:00:00,,,0.84,20.0,,85.0,,,21.5,20.0,41.5,1.5,14.8,5.8,0.0,566.0,80.0,,6.2,,12.2,,,1.4,,
Bolivia,2025-10-10 07:00:00,,,0.83,59.0,,81.0,,,21.9,20.1,42.1,2.9,23.4,10.2,0.0,566.0,194.0,,3.6,,13.4,,,1.4,,
Bolivia,2025-10-10 08:00:00,,,0.7,85.0,,76.0,,,15.0,19.0,34.0,5.2,30.5,9.4,0.0,566.0,218.0,,2.4,,14.6,,,0.8,,
Bolivia,2025-10-10 09:00:00,,,0.71,1.0,,69.0,,,9.1,17.2,26.4,7.6,27.5,7.7,0.0,567.0,359.0,,1.5,,16.2,,,0.6,,
Bolivia,2025-10-10 10:00:00,,,0.8,124.0,,63.0,,,6.3,19.8,26.1,10.4,26.7,6.1,0.0,566.0,396.0,,1.2,,17.1,,,1.5,,
Bolivia,2025-10-10 11:00:00,,,0.57,159.0,,57.0,,,4.4,13.3,17.8,14.3,25.1,5.0,0.0,566.0,757.0,,1.2,,18.5,,,1.4,,
Bolivia,2025-10-10 12:00:00,,,0.52,191.0,,54.0,,,3.8,14.5,18.4,15.9,19.2,6.0,0.0,565.0,617.0,,1.2,,19.5,,,1.4,,
Bolivia,2025-10-10 13:00:00,,,0.66,268.0,,73.0,,,2.5,16.9,19.5,20.4,21.5,5.8,0.0,564.0,256.0,,2.2,,17.7,,,2.3,,
Bolivia,2025-10-10 14:00:00,,,0.65,266.0,,76.0,,,5.5,20.2,25.7,22.0,29.8,7.6,0.0,564.0,267.0,,2.4,,17.4,,,2.6,,
Bolivia,2025-10-10 15:00:00,,,0.61,278.0,,75.0,,,2.1,16.8,18.9,23.0,37.9,7.3,0.0,564.0,94.0,,2.9,,16.6,,,2.8,,
Bolivia,2025-10-10 16:00:00,,,0.73,302.0,,82.0,,,3.7,19.4,23.2,13.1,40.3,13.5,3.7,564.0,10.0,,2.8,,14.5,,,1.9,,
Bolivia,2025-10-10 17:00:00,,,1.23,306.0,,88.0,,,10.6,25.7,36.3,3.7,35.3,16.3,0.0,564.0,6.0,,3.1,,13.9,,,1.3,,
Carvajal - Sevillana,2025-10-10 00:00:00,,,0.48,,,,,,,,,,64.0,29.0,0.0,,,1.2,,,14.2,,,,,
Carvajal - Sevillana,2025-10-10 01:00:00,,,0.34,,,,,,,,,,57.0,33.0,0.2,,,1.0,,,13.8,,,,,
Carvajal - Sevillana,2025-10-10 02:00:00,,,0.28,,,,,,,,,,39.0,34.0,0.1,,,0.4,,,12.9,,,,,
Carvajal - Sevillana,2025-10-10 03:00:00,,,0.41,,,,,,,,,,70.0,30.0,0.0,,,0.7,,,13.1,,,,,
Carvajal - Sevillana,2025-10-10 04:00:00,,,0.97,,,,,,,,,,77.0,43.0,0.0,,,1.8,,,13.5,,,,,
Carvajal - Sevillana,2025-10-10 05:00:00,,,1.78,,,,,,,,,,77.0,44.0,0.0,,,1.1,,,12.8,,,,,
Carvajal - Sevillana,2025-10-10 06:00:00,,,2.09,,,,,,,,,,109.0,47.0,0.0,,,3.8,,,13.8,,,,,
Carvajal - Sevillana,2025-10-10 07:00:00,,,2.8,,,,,,,,,,92.0,31.0,0.0,,,5.7,,,15.2,,,,,
Carvajal - Sevillana,2025-10-10 08:00:00,,,1.66,,,,,,,,,,98.0,38.0,0.0,,,6.0,,,16.4,,,,,
Carvajal - Sevillana,2025-10-10 09:00:00,,,1.14,,,,,,,,,,86.0,25.0,0.0,,,5.0,,,18.7,,,,,
Carvajal - Sevillana,2025-10-10 10:00:00,,,0.74,,,,,,,,,,63.0,24.0,0.0,,,4.1,,,19.4,,,,,
Carvajal - Sevillana,2025-10-10 11:00:00,,,0.5,,,,,,,,,,59.0,24.0,0.0,,,3.3,,,20.9,,,,,
Carvajal - Sevillana,2025-10-10 12:00:00,,,0.84,,,,,,,,,,87.0,41.0,0.0,,,4.8,,,20.6,,,,,
Carvajal - Sevillana,2025-10-10 13:00:00,,,0.69,,,,,,,,,,76.0,40.0,0.0,,,3.5,,,20.9,,,,,
Carvajal - Sevillana,2025-10-10 14:00:00,,,0.76,,,,,,,,,,47.0,40.0,0.0,,,2.4,,,19.0,,,,,
Carvajal - Sevillana,2025-10-10 15:00:00,,,0.77,,,,,,,,,,58.0,31.0,0.0,,,1.8,,,18.3,,,,,
Carvajal - Sevillana,2025-10-10 16:00:00,,,0.92,,,,,,,,,,43.0,12.0,0.0,,,1.5,,,17.3,,,,,
Carvajal - Sevillana,2025-10-10 17:00:00,,,1.01,,,,,,,,,,18.0,34.0,0.0,,,0.9,,,15.8,,,,,
Centro de Alto Rendimiento,2025-10-10 00:00:00,,17.1,0.15,95.0,,73.0,,,2.8,5.6,8.4,14.1,21.0,10.8,0.0,565.0,0.0,0.1,,,11.8,,,0.7,,0.5
Centro de Alto Rendimiento,2025-10-10 01:00:00,,10.1,0.22,303.0,,79.0,,,3.9,9.2,13.1,2.6,16.7,8.2,0.1,565.0,0.0,0.0,,,11.3,,,0.6,,0.9
Centro de Alto Rendimiento,2025-10-10 02:00:00,,4.8,0.45,323.0,,84.0,,,10.7,10.8,21.5,-5.5,13.8,7.0,0.0,565.0,0.0,0.0,,,10.8,,,0.4,,2.3
Centro de Alto Rendimiento,2025-10-10 03:00:00,,2.7,0.36,321.0,,84.0,,,11.3,12.6,23.9,1.6,11.6,5.2,0.0,565.0,0.0,0.0,,,10.7,,,0.6,,3.9
